Country,Coffee type,Total_domestic_consumption,Year,Consumption,Global_price,Year_num,Market_Size,Lag_1,Lag_2,Lag_3,Rolling_Mean_3,Rolling_STD_3,Consumption_Change_Lag1,Global_price_Lag1,Price_Change_Lag1,Consumption_Change
Kenya,Arabica,95190000,2019/20,4290000.0,130.55576145774515,2019,Pequeño,4200000.0,3900000.0,3600000.0,3900000.0,300000.0,0.07692307692307687,132.7149266814104,-0.11967040977234356,0.021428571428571352
Lao People's Democratic Republic,Robusta,157980000,2019/20,9420000.0,73.56537585482151,2019,Mediano,9300000.0,9300000.0,9000000.0,9200000.0,173205.08075688774,0.0,84.77463826933935,-0.16031170331208977,0.012903225806451646
Madagascar,Robusta,588705960,2019/20,22500000.0,73.56537585482151,2019,Mediano,22500000.0,21900000.0,21600000.0,22000000.0,458257.569495584,0.027397260273972712,84.77463826933935,-0.16031170331208977,0.0
Mexico,Arabica/Robusta,3189660000,2019/20,145500000.0,102.06056865628332,2019,Grande,147000000.0,144000000.0,141600000.0,144200000.0,2705549.8516937364,0.02083333333333326,108.74478247537488,-0.13597107117728346,-0.010204081632653073
Nicaragua,Arabica,299700300,2019/20,12600000.0,130.55576145774515,2019,Mediano,13200000.0,13080000.0,13003680.0,13094560.0,98966.5640506934,0.00917431192660545,132.7149266814104,-0.11967040977234356,-0.045454545454545414
Panama,Arabica,122916960,1998/99,4020000.0,135.46926998243302,1998,Pequeño,4836900.0,4600020.0,4600020.0,4678980.0,136762.73176563854,0.05149542828074671,188.92811070330637,0.5489465158824864,-0.16888916454754077
Papua New Guinea,Arabica/Robusta,3608400,2016/17,120000.0,126.22842230535164,2016,Pequeño,108000.0,115440.0,122340.0,115260.0,7171.694360470195,-0.0644490644490644,123.97010639390803,-0.175662962481534,0.11111111111111116
Peru,Arabica,402000000,2008/09,15000000.0,139.71246561892215,2008,Mediano,13200000.0,12000000.0,11400000.0,12200000.0,916515.138991168,0.10000000000000009,61.46206826808457,-0.004459569087950976,0.13636363636363646
Philippines,Arabica/Robusta,2807280000,2019/20,195000000.0,102.06056865628332,2019,Grande,198000000.0,190800000.0,181800000.0,190200000.0,8116649.55508121,0.037735849056603765,108.74478247537488,-0.13597107117728346,-0.015151515151515138
Rwanda,Arabica,2139960,2004/05,60000.0,80.4795248525629,2004,Pequeño,19980.0,19980.0,120000.0,53320.0,57746.57392434637,0.0,64.17286205219901,0.0441051507132908,2.003003003003003
Sierra Leone,Robusta,10080000,1997/98,300000.0,78.67279161961227,1997,Pequeño,480000.0,480000.0,300000.0,420000.0,103923.04845413264,0.0,81.9550974574942,-0.347262772890239,-0.375
Sri Lanka,Arabica/Robusta,58300020,2010/11,2100000.0,137.39006088054458,2010,Pequeño,1800000.0,1200000.0,1680000.0,1560000.0,317490.1573277509,0.5,109.09704061578518,0.7642780122824986,0.16666666666666674
Tanzania,Arabica/Robusta,76425060,2019/20,5700000.0,102.06056865628332,2019,Pequeño,5520000.0,5500020.0,5478000.0,5499340.0,21008.255520152074,0.0036327140628580334,108.74478247537488,-0.13597107117728346,0.032608695652173836
Thailand,Arabica/Robusta,1248600000,2019/20,84000000.0,102.06056865628332,2019,Mediano,84000000.0,82500000.0,81000000.0,82500000.0,1500000.0,0.018181818181818077,108.74478247537488,-0.13597107117728346,0.0
Togo,Robusta,2167620,2019/20,15600.0,73.56537585482151,2019,Pequeño,15240.0,15240.0,15240.0,15240.0,0.0,0.0,84.77463826933935,-0.16031170331208977,0.023622047244094446
Trinidad & Tobago,Robusta,21090000,2010/11,600000.0,78.73102976190476,2010,Pequeño,660000.0,840000.0,600000.0,700000.0,124899.95996796797,-0.2142857142857143,67.57924198506807,-0.42358227815289995,-0.09090909090909094
Uganda,Arabica/Robusta,284816400,2019/20,15240000.0,102.06056865628332,2019,Mediano,15000000.0,14688000.0,14400000.0,14696000.0,300079.98933617683,0.0212418300653594,108.74478247537488,-0.13597107117728346,0.016000000000000014
